,name,esrb,total_rating
341,Skylanders: Imaginators,4,81.65384615
342,Skykeepers,3,46.5
343,SkyScrappers,5,55
344,Skulls of the Shogun,5,81
345,Skullgirls: 2nd Encore,5,87.5
346,Siren,6,71
347,SingStar Ultimate Party,5,40
348,Silence: The Whispered World 2,5,78.42008529
349,Siegecraft Commander,5,59.375
350,Shutshimi,4,62.63301006
351,Shu,3,71.85
352,Shovel Knight: Treasure Trove,3,89.90822919
353,Shovel Knight,3,88.279266
354,Shoppe Keep,5,56.25
355,Shining Resonance Refrain,5,76.5
356,Shiness: The Lightning Kingdom,5,73.83333333
357,Shikhondo - Soul Eater,5,65.75
358,Shiftlings,5,67.5
359,Shift Quantum,5,80
360,Shift Happens,3,79.75
361,Sherlock Holmes: The Devil's Daughter,5,72.10908418
362,Sherlock Holmes: Crimes & Punishments,6,79.51651711
363,Shape of the World,4,75
364,Shantae: Half-Genie Hero Ultimate Edition,5,76.5
365,Shantae: Half-Genie Hero,5,82.48221862
366,Shadows: Awakening,5,72.5
367,Shadow of the Tomb Raider,6,82.46092005
368,Shadow of the Colossus,5,91.22344579
369,Shadow Warrior 2,6,78.77235131
370,Shadow Warrior,6,73.95499217
371,Shadow Complex Remastered,5,81.57405362
372,Shadow Complex,5,86.15701107
373,Serial Cleaner,6,73.6652503
374,Semispheres,3,74
375,Secret of Mana,4,59
376,Scribblenauts Showdown,4,63
377,Screencheat,4,75.23506203
378,School Girl/Zombie Hunter,6,52.25
379,Save the Light,4,66.25
380,Saturday Morning RPG,4,90
381,Samurai Warriors: Spirit of Sanada,5,74.5
382,Samurai Warriors 4-II,5,68.5400361
383,Samurai Warriors 4,5,77.76664411
384,Samurai Shodown V Special,6,72.5
385,Salt and Sanctuary,6,85.76661687
386,Saints Row IV: Re-elected,6,77.73685737
387,Saints Row IV,6,79.35820814
388,Saban’s Mighty Morphin Power Rangers: Mega Battle,4,55.5
389,SYMMETRY,5,58
390,SUPERBEAT: XONiC,5,85.5
391,STARWHAL,4,64.9742528
392,SOMA,6,86.89564798
393,SNK Heroines ~Tag Team Frenzy~,1,62.25
394,SNK Arcade Classics Vol. 1,5,69.14285714
395,SMITE,5,75.54967276
396,Runner3,4,77.57142857
397,Runner2: Future Legend of Rhythm Alien,5,79.75985387
398,Runbow,3,73.91666667
399,Ruiner,6,77.42847875
400,Roundabout,6,64.16666667
401,Romance of the Three Kingdoms XIII,4,72.14285714
402,Rolling Bob,3,73
403,Rollers of the Realm,5,80.625
404,Rollercoaster Dreams,4,10
405,Rogue Trooper: Redux,1,74.875
406,Rogue Legacy,4,84.30538627
407,Rogue Aces,4,84.25
408,Rocketbirds 2: Evolution,5,63
409,Rocket League,3,85.9982351
410,Rock Band 4,5,65.9753829
411,Robonauts,3,63.83333333
412,Robinson: The Journey,3,56.5
